id,user,timestamp,commentText
Ugwva5Qy3jozmpA-7_h4AaABAg,mistara90,1534797557077,liquid snake didn't die by foxdie.
UgzZkMjwtcSb45VjLWV4AaABAg,Max Kim,1534797557087,Go for it !! Mr trump !!
UgzdPO4ShMCHq4YsfXh4AaABAg,Karen Newberry,1534797557091,"LOL, she claimed it would increase our taxes, but she was DEAD WRONG, he dropped our taxes and corporation taxes...and the Economy is booming, Jobs are being created in blow out numbers...Democrats only create Government jobs, which the taxpayer has to pay for, they never create jobs in any other industries.  That moderator claiming that ""record numbers"" in job growth had already been happening....is on DRUGS!  Jobs were stagnant and DYING all over the place.  PLEASE!"
Ugx5VI20CRM-fvewNdF4AaABAg,rambojr03,1534711157100,Trump is arguably the greatest President in the History of our Country in the first 18-24 months of their Presidency.  Keep hating.  You just make us want to vote for him more.
Ugy3p2Nzy8BHOEb_Uzp4AaABAg,Sungjae Pae,1534711157106,Vote trump 2020
UgyTgEeCTLuaQunHmM94AaABAg,Cameron langill,1534711157112,"Hillary I want to help small businesses seconds later, I want to increase minimum wage lol"
UgzRWLD7OvnuhJmQah14AaABAg,Scammer SlammerTV,1534624757118,Who ever wrote what hillary is reading is the reasons she lost....
Ugw1EtcwM06_Mi6bXld4AaABAg,Mr. TEN,1534538357124,if he kissed hilary! 😀😀
UgyPAeRpj1kKlNbNMH54AaABAg,Uncle Ruckus,1534538357131,im surprised how nbc didnt put hitlers voice on top of trump´s
UgwLzQHxiieYDiMpAQd4AaABAg,Knatty Tracazoid,1534538357174,Hillary was right 16:30
UgyA-tgCFo9JPP1BRmp4AaABAg,Knatty Tracazoid,1534538357179,"what's up with this guy sniffles, he's sniffling like a coke head idk"
Ugywc7WHz_4qOCkwgu54AaABAg,Kip Walker,1534538357189,Mary Hanrahan (D) vs Molly Murphy (R)
Ugxtbf25VGWkJU0bIat4AaABAg,newcjon,1534538357198,THANK GOD HILLARY LOST!!!!
UgxzoHuUf96g0bSeCpt4AaABAg,deborahmoses,1534538357204,the swamp is draining but not fast enough
Ugx9YGwzpWaxK5s0SDx4AaABAg,mikeatc33,1534451957211,she sucks so bad... thank god she lost....
UgwOeC08VZraM1_jwL54AaABAg,mikeatc33,1534451957221,hillary lost...and shes a liar....
Ugzxer_UY8udkjyI4yR4AaABAg,Joshua Veres,1534451957224,How could anyone like this crazy cringe worthy woman
UgzJpFe6F_8I_aq1cTZ4AaABAg,Scammer SlammerTV,1534451957234,WHO IS WATCHING THIS AFTER ELECTION AND FINDING TRUMP WAS RITE
UgxqBA_sh4inuvsGwLR4AaABAg,Sam Murphy,1534451957245,trump ruins hillary
UgwmqTqTtPpB56Mm_tV4AaABAg,Vladimir Kim,1534365557249,"Two individuals both nice beautifully talking and one of them is so evil, liar, 15 years she parasitized was feeding on our credulity. Not knowingly tried to destroy America mistakenly believed in false values."
Ugy71vSudqiPlQlhQ0t4AaABAg,Imran Hossain Alif,1534365561044,"Donald Trump  plan was good. i like it.  now days increase lots of startup company  in usa . thats really great , every startup company need a website for marketing products or service  . if anyone want to create a website for startup company then thats the perfect things for you . see this - https://goo.gl/52ZQWd"
UgwYT93U02VJnUN-DfZ4AaABAg,Robert Napier,1534365561050,No Spoilers but how did this end?
UgzNyo0Hi6u9tNvTEft4AaABAg,Tessa Jones,1534365561058,wRoNG
Ugw-h8m3KFeSHi4NrnF4AaABAg,Daniel Alberto Gonzalez Soriano,1534365561062,"By Aug 2018, I’m really surprised about how trump has delivered almost everything he said he was going to do..."
UgzWUGqYDtJNuCls89J4AaABAg,J McClain,1534279161065,Did Hillary realize that shes dressed like Chairman Mao?
UgzRdAxd-F10DwHxAaV4AaABAg,Madhav Sub,1534279161074,"lol, atleast this was a little bit less chaotic than logan paul vs KSI lol anyone 2018?"
UgzWTWK1IRHehoCYuoR4AaABAg,irish francis Callinan,1534279161077,Men power
Ugxd4OxqRi4pL27aoOZ4AaABAg,Sean Goettsche,1534279161085,I came here for a good laugh....
