id,user,timestamp,commentText
UgzDkxbn8hv7xaGAbUF4AaABAg,Iker Lozano Pascual,1535464047110,2:10 aaaaahj memories
UgyN8ivT6OfPPNebCIB4AaABAg,Al Nygaard,1535459247123,Special good
Ugw5_kotKGNKn33M2Kp4AaABAg,evangelina ozbourne,1535459247134,❤
UgxDkUI6B6Vk5KWHyBx4AaABAg,:D :D,1535455647146,❤️😘
UgyZO9tdz0Lqv3xG3lN4AaABAg,julioss max,1535455647158,Soave ❤
UgyMBnYRptZI8jrXxkB4AaABAg,Martin Bachleda,1535448447169,"get married, have children!"
Ugwprth37Qh1P4PmDoZ4AaABAg,Martin Bachleda,1535448447181,do drugs?!?
UgxECV5cCxq2iK1IMtt4AaABAg,Martin Bachleda,1535448447192,play stara Wars!
UgzXJGv-C0Ol3ZblBhd4AaABAg,Martin Bachleda,1535448447205,go to space!
UgxQOYWO3USW2fx8A014AaABAg,Martin Bachleda,1535448447216,evolve.
UgzyvNWAztR3zF692T14AaABAg,Martin Bachleda,1535448447220,change?!?
Ugx9I230WSdeWNJaCQJ4AaABAg,Martin Bachleda,1535448447232,be stubborn?
UgydCv-DgGDRCvwQQ4R4AaABAg,Martin Bachleda,1535448447245,feel good!
UgxTszWzAyzaXFQYNFF4AaABAg,Martin Bachleda,1535448447256,smoke weed!
Ugw-WHQfxFZDmxXhPO54AaABAg,Martin Bachleda,1535448447268,stop smoking!
UgxhB8e-uoMxESLvUB54AaABAg,Martin Bachleda,1535448447280,complain like a bitch?!?!
Ugyew2ze1BFux_I-_rd4AaABAg,Martin Bachleda,1535448447294,go to the moon!
UgyaARFB_-4YpuCtS5Z4AaABAg,Martin Bachleda,1535448447304,see the world!
Ugxl_-20w_J19UnaEuB4AaABAg,Martin Bachleda,1535448447314,what is the point? a lot of stuff!
Ugzox-N5Brh1EuFWoUl4AaABAg,Martin Philbey,1535448447327,Fuck public comment s
Ugx2xbfYIr0kLAj4doJ4AaABAg,Freddie b White,1535441251729,Great tune
UgzhV085vSNYfGb28qd4AaABAg,pavel vlček,1535437651734,Legend's never die 💚
UgzsJISHaOw7HAJlldZ4AaABAg,emogirl20 98,1535426851744,😍😍😍 love this song
Ugy8CCFanbDfUD-pT-V4AaABAg,3000 Subscribers With No Videos Challenge,1535423251753,Nothing Else Matters 2 please thanks
UgxVCb_TLflU01bM_R54AaABAg,David Beecher,1535419651768,"Its why we make music, to survive life, here's to you rick"
Ugzr604lkArKsm_QKxB4AaABAg,Purwanto 110882,1535419651778,as
UgwxbFDSR4kUH49Q-JB4AaABAg,Ler Mais,1535419651781,"2050, who's up??? 😗"
UgxPlgC0EsQryZ-P2Ol4AaABAg,José Stroke,1535419651802,Jueputa Mustaine debería estar ahi
UgzUFhhGF5DkUfzJkNJ4AaABAg,GLAUBER Silva,1535419651806,👏👏👏👏👏👏
UgyduqibykkaLALMaCN4AaABAg,mert ağkaya,1535416051816,çok beğendim arkadaşlar çalışmaya devaaam :D
Ugx3l8hFNb5kR6-G_UJ4AaABAg,Jayanta Talukder,1535416051830,Wow 85k dislikes
Ugxc_jEWteuFyfdIRuZ4AaABAg,Stannis Baratheon,1535416051842,Dude when you're listenin this ur mind is fukin blowin up
UgwLXO_hhhgV0FVuIPh4AaABAg,Salvador Alvarez,1535412451860,":v
i like this"
UgwsUhnSJPajUzZKijZ4AaABAg,Inaky Snlazo,1535412451870,Le Club internacional¡¡¡¡¡¡¡
