id,user,timestamp,commentText
Ugze1h9DkOv1HuaCYSB4AaABAg,Baby Lon,1534614151860,Imagine obama and trump debating! Isn't that amazing!?
UgzK9M5-O1sEjtkYVR94AaABAg,Jeffrey Jansen,1534527751871,Love President Obama!!!
UgwnSGw5f4tzmeGPEox4AaABAg,patri0tstar,1534527751883,"Ugh. That was painful. I’m not sure either candidate ever actually answered a single one of the questions asked. It was primarily a lot of self congratulatory behavior mixed about with attacks on their competitor. “Mr. Romney wants to...”, or “The President has...”. Shut up about your competitor. If you can’t fill in 2 minutes talking about your agendas and how you intend to implement then that just tells me how woefully unprepared you are for the job. You should be able to talk for hours at a minimum on some of these questions. Yet they have so little to say they fill in the rest of the time with disparagements and misleading statements about the other candidate. It’s depressing."
UgxaXv9mhaFSN5062m94AaABAg,Sean Naughton,1534527751895,They were true statesmen!  Makes the 2016 election an abomination.
UgxzsmUf5oItby6DncZ4AaABAg,RogerWazup007,1534527751898,"1:22:56 ""Yeah... right."" :P"
UgzE-oX7Kb4WO1YtqB54AaABAg,Roosevelt Hayes,1534527751911,I qualify for a Student Loan of thousands of dollars but can't get a 40 dollar loan til payday to pay my phone bill
UgwnSuRznPEDpp-Dj7p4AaABAg,Roosevelt Hayes,1534527751922,More jobs less debt
Ugxngp8gEbthzTAWAMx4AaABAg,MegaBakerdude,1532713351934,"Romney ran right into that colossal error about the ""terrorist attack"" thing.  Bummer dude.  They he was all nervous - ""am I wrong?"""
UgwXqQGQz3v9X5xy2l54AaABAg,MegaBakerdude,1532713351946,Wow - two normal politicians.  Now we have a raving lunatic and moron in office.
Ugzp7I5c-_8mD3tVbl54AaABAg,Mr.Bigzy26,1532454151955,Man I’m glad Detroit “came back” . Thanks Obama
Ugy6-xsnBTLbkB5DHG94AaABAg,Adrian Rice,1532454151967,"Mitt Romney spoke quicker than Barack Obama, he also stumbled across sentences from time to time. Mr. Obama spoke slower, with ease, with control. When people slow down just a bit, they seem more trustworthy. Barack Obama's posture looked calmer than Mitt Romney's as well."
UgxrUIZMdkZcM0RQk-h4AaABAg,squirrel pro channel,1532454151979,when does he say big bird
UgwP-NMEAAyA8PgUAY94AaABAg,Papa Khan,1529862151990,"middle of 2018, just came here to listen how politicians who ran for President were talking during these debates. It sounds all so nice and well, but nothing came out of it. Now we have this Trump guy who's certainly not a politician, but ... my company has tax reductions and my family a better health plan ... color me surprised :)"
UgzP9jU8Sh2ahA0dGPJ4AaABAg,"I love the dark lord Satan, and",1527183752004,"Democrat speaking:  If y’all ran with Romney, I would’ve voted republican. like wtf is wrong with you all."
UgzwatnS0UQufCrNKQ14AaABAg,Your Mom,1527183752024,I love these two together.
Ugwwsp66BSA4pirkrU94AaABAg,Carlos Diaz,1524591752041,lol obama is petty
UgyCeUSgjGP9vxtMaEx4AaABAg,Jake Delizioso,1519494152060,"Wow, this is what a professional debate looks like. I feel sorry for future generations."
UgzkyBNWFKTRP4JVuqV4AaABAg,Steven Whitear,1519494152073,"When Obama said he was gunna build on something, I thought he said he was gunna build a wall."
Ugwm2TBmTKdzfn2q_bd4AaABAg,The Life of Jake,1516815752084,Obama is the devil
UgxjGOPTUj_vPrznePF4AaABAg,joshingaround 4248,1516815752088,Who's watching in 2018 out of nostalgia?
UgxnSakB9fvZLeLOSh54AaABAg,The Most Hated YOUTUBER,1508866958844,I remember way back then they were talking about the recession and they said yeah but the oil company one had a 90 billion dollar profit. In a recession you know that's not because its a recession they just charge the most they can until it started to become a problem with the majority
UgyUOnwGKHb_56SW2-l4AaABAg,The Most Hated YOUTUBER,1508866958856,It's really that the Gas companies wanted to raise the price to 4 something because they knew they could get it but when people started getting mad and upset and stop using gas so much then the federal government finally change the law to change and control how much there able to charge because remember the federal government is a part of gas prices as it charges 30 cent per gallon.
UgwSqi9h7fqiY2mLx-N4AaABAg,The Most Hated YOUTUBER,1508866958868,The only thing about Obama that really didn't ever make sense. Was the gas prices. How is the  national gas prices were 4.30 something and it was 1.80 something in the recession yet in both prices The oil companies were making 400% profit no oil company was hurting or going out of business if the recession came it was 4.30 and now the recession is gone and now the gas prices are in the 2 something range.
UgwaJAVZUDiXE1eVUiF4AaABAg,Austin Blackwell,1508866958880,Thank God we FINALLY have a President that ACTUALLY cares about the AMERICAN people
UgzB9P9U9k4R7DfjvbF4AaABAg,John O'Neill,1506274958893,God would never allow a Mormon to become President.
UgzFs2EAjffENF67_rd4AaABAg,Mohammed Sheikh-ali,1506274958903,Trump is rude he kept on harrasing Hilary the olny thing he was talking about is putting her in jail
Ugh8iWfRP1ZRgXgCoAEC,Hot News USA Trump,1503596558910,How many of you are here after watching the TrumpVsHillary debate and wonder OMG can we have #Obama again for another term ?????
UggEG2QI59UgVXgCoAEC,WinninglikeSheen,1503596558930,Candy cut Romney off so many times. Totally rigged debated.
UghzMxIhaB_a23gCoAEC,Michael King,1503596558941,Remember when adults were running to be president? Now we have children
UghhYy23qOjK6ngCoAEC,Go pack Go 12,1503596558952,wait u created Obamacare giving them less choices
Ugg78YqjhZYuYXgCoAEC,Lisandro Ruiz,1503596558957,wonder if the kid in the beginning got a good job
UghOp8TOCaNjq3gCoAEC,anticorncob6,1503596558967,Both candidates (Obama and Romney) were pretty bad but this is paradise compared to the 2016 election. At least they're actually talking substance and debating on policy and not who was the wittier comeback.
UgjLzo_nfTEf73gCoAEC,William Ochocinski,1503596558978,To be fair 4 more years later the deficit is close to 20 trillion dollars i would of voted for obama if i could but knowing trump is president now i would of rather romney won so trump couldnt of ran in 2016
Ugg4OzU5oWiNL3gCoAEC,William Ochocinski,1503596558990,5:40 when you took 2 wars and turned them into 7?
UggCOXR1lfFoGngCoAEC,William Ochocinski,1503596559004,4:50 is that why you dont support free public college for all americans?
UgiJtS87lGEAsHgCoAEC,Heyy Now,1503596559106,The moderator was clearly a Obama supporter.
UghOXIik1VcGOXgCoAEC,Keith Bishop,1503596559118,Polished politicians at its finest.  The reason TRUMP won.  We are sick of the typical lying politician!
Ugg4hu9pviza8ngCoAEC,SideWayz,1503596559130,Who's back here reminiscing on Obama because we have a shitbag for President?
UgjFryETcc6Rh3gCoAEC,sturmraist50,1503596559143,Lorraine is hot.
Ughi9an2PA0Dv3gCoAEC,Giang Hoang Truong,1503596559154,"TG: 16:55 PM
Ngày: 2/15/2017
CNN
Election 2012
Obama vs. Romney: Complete Second Presidential Town Hall Debate
The New York Times"
Ugju82SHM3OO23gCoAEC,Phoenix,1503596560274,coke vs Pepsi.
