id,user,timestamp,commentText
Ugxb9SPvZ-24f6S-sJF4AaABAg,Jarrod Stowe,1534734160694,"I'm a Christian Fundamentalist and I'll tell you why.

It's impossible that you can become ""good"" by your own efforts, and by your own intellect, no matter how much you try. 

That's because it's not a matter of trying, it's a matter of our nature. During the fall our nature inherently changed, and we don't have the power to change it back. You can understand everything about the Bible, and that still doesn't have the power to change your nature, and what the Bible says is good, what it says is actually true, too.

When we fell from God his offer was to bring us back into relationship with Him, but only He can accomplish that.

He accomplished that through Christs sacrifice, which pays the price for our fallen nature. Not only that, but when you believe that Christ is who He says He is, and that His death was a sufficient atonement, He changes your nature. 

Sin can still effect you in various ways, but your nature towards it changes as it's no longer a function of your work, which is what the 7th day of rest symbolizes. Overcoming sin is no longer a matter of effort, but confession, humility, and repentance, faith, and hope.

As you rely on Christ to work out your salvation, He provides the internal inspiration and drive, showing you your errors and working to renew your mind. 

This is what Christians mean when they say born again.

Christ says He is the Vine and we are the branches, without him all of our efforts, all of our deeds are considered as stained rags. It also gets rid of boasting as no man can say it was I who became righteous, because man in and of himself can never become truly righteous, not to the degree that God demands.

This can be frustrating in that we became imperfect, but He bridges this imperfection by making us perfect, but not without coming back to Him, which is how and why we were created in the first place, to be in perfect harmony and relationship with our loving creator."
Ugw2qbjgVRWfp9Ix2Gd4AaABAg,Brandon Pillay,1534734160704,I know I'm not the first person to say this and probably not the last as well but This man has also helped me to turn my life around!
Ugyw_IdW1gHj_UU729h4AaABAg,SeouL,1534647760716,"It would be most interesting you did a short lecture series on the Tao Te Ching!

The most famous intellectual in the Western World right now speaking about the Tao Te Ching would be brilliant to see."
Ugw7KrWumwvz_7I9GV94AaABAg,R-monk Antonii,1534474960728,I really wish he'd do a lecture involving Elisha and the two she-bears. That'd be an interesting one.
Ugwa148kCIa23fPFPc14AaABAg,billdude1313,1534215760733,"About the carpenter comparison with so-called intellects,  clearing my throat,  I built homes from the dirt to turnkey for 36 years on islands in the Puget Sound, Washington area,  Its in Pacific North, West, for those who are unfamiliar with the United States.  In the days before and after Jesus carpentry must have been much more of a challenging, I would like to think that most occupation need an intellect on the job,"
Ugy6IuaNJ-fLC0FQrqN4AaABAg,Google User,1534215760741,This series changed my life.
UgxvuvEl1L_ZZIqKxAh4AaABAg,Edgar Perez,1534215760744,"The main idea found in the Bible is that there is nothing we can do to save ourselves. You give some practical advice to make our lives a little bit less miserable and a little bit more meaningful, for this I thank you. Some of the stories of the Bible can be read psychologically, and it is useful. But you will miss the point of many of them if you do not accept Jesus. Paul wrote in 1 Corinthians, ""And if Christ has not been raised, your faith is futile; you are still in your sins."" We cannot be good without faith in Jesus. Not Jesus as a metaphor for our own physique, but the historical Jesus, son of God who came to die for our sins. The faith that you speak of is not faith, for Jesus is the author and consumer of faith. But the faith you speak of is calculative reason, ""what do I need to do and not do in order to increase my chances of being successful and/or avoid catastrophe"" - this is not really an act of faith. The writers of the Bible believed in God, not as a psychological reality, nor a material reality, but as something above and beyond everything we can imagine, and SEPARATE from ourselves. Likewise, the New Testament writers believed in the historical Jesus as the Savior of the world, and they took everything that Jesus said as literal and not psychological truth. So when it says, ""For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life"", it is not to be interpreted as psychological, or mythological, existential, metaphorical, or mystical truth, but as literal truth. If it is not accepted as literal truth, and believed with the heart as well as the mind, then, the Bible claims, ""the highest possible good"" cannot abide in you. Without belief in Jesus the Bible is a dead, closed document, and no matter how hard you try you will always miss the point. Jesus himself said it, ""You search the Scriptures because you think that in them you have eternal life; and it is they that bear witness about me."" Again, thanks for inspiring us to improve ourselves and the world, but I encourage you from the heart to give Jesus a chance."
UgwerRVCzS7QxFQftHt4AaABAg,Rosseo B,1533610960753,"OMG, I 'got' through this == 10 h.  eigrh next"
Ugw4N8DUF9XGqMg9QQl4AaABAg,Vann Henry,1533610960758,Cant hear like 1/5 of the questions. This one really pissed me off cuz apparently we missed some good jokes
UgzF8kfs736HjC8aM3F4AaABAg,SCiZZo C,1533610960766,"basically ""quit smoking cigarettes you loser"" FIRST 19 MINUTES"
Ugz-Qa2iDK6weRFEkDV4AaABAg,Jaccobtw,1533610960770,Pastor Peterson!
UgzRBwSCGOz8miUW9a94AaABAg,Chris Parks Affluent,1533610960778,Life changing man. Why didn’t he just delete the other version though lol
UgwYgAqBmatVyWJ-_9V4AaABAg,生霊Ikiryo,1533610960782,"I have not seen it, but you actually make that NRA ad sound kind of cool."
