id,user,timestamp,commentText
Ugx5SPGitfM0i7oUr3Z4AaABAg,40BelowTr00per,1534216384563,Biggest takeaway from this lecture: Stay away from Cocaine Joe.
UgxqCdiJAsvAfCCfQwV4AaABAg,Jakub Szwedo,1533611584569,"Dr Peterson! Luria's teacher was Vygotsky, not Pavlov!"
Ugwi11NxPfoQ_Yhgrwx4AaABAg,Sven M,1533006784575,"I watch one of Jordan's videos every month or so. My brain can't handle any more. However the material is so heavy- and real- that it actually takes me that long to hash it all out.  He explains things in excellent essay format, and by some weird miracle I can actually retain his long-winded speaking."
UgxdqczZYV1nHcJeEIl4AaABAg,movingforward,1533006784581,what did the audience see @1:23:00?
UgyG4tQg8f_cre6y0Vl4AaABAg,Bookwyrm,1533006784586,Guy in the red shirt really needs to wind his ego in - we are not as interested in his voice as he is...
UgyDTAh4dI6kALXY7c94AaABAg,Bookwyrm,1533006784593,Tyranny is then a way in which order degenerates into chaos. It is order that has been corrupted by chaos.
UgyIGJEgw9pYn467i-94AaABAg,Maged Kamel,1533006784598,He is more than a Phenomena. He is the answer RIGHT NOW for what is happening RIGHT NOW in the west!!
UgwZyTUzA5-diyLFq8N4AaABAg,carlmons,1532142784607,"""It's not possible to exist without a central ideal"" ~37:25... this is why multiculturalism can't work, and also why America is growing more divided. More and more are falling for leftist ideals, which are antithetical to basic American central ideals. Leftists are not new to the US, but leftists having numbers, acceptance and a significant voice certainly are. If you're a democrat you should think long and hard before you support leftist politicians in your party just because they're in your party. Unless you are comfortable with calling yourself a socialist (rather than the 'progressive' euphemism) you should drum these extremists in the guise of Americans out, to bring back credibility and centrist support to your party. Same goes for extremist on the right - extremists should find no place in American government. The national debate needs to return to issues and policies rather than ideals, because most of us still share basic ideals. The thought of a Socialist Democrat winning a primary anywhere in America should make any American cringe."
UgypePQpaEDz81RR91x4AaABAg,tral1,1532142784611,"It doesn't make you less afraid it make you more courageous. Like, you don't need more faith you need to have less doubt.  Two different thing, and that's a mind blowing idea."
UgyfBjxXP8iBt2M-XUZ4AaABAg,iamanomas,1532142784620,"So it is not enough to burn the flag to object to perceived corruption,  one must have a plan to fix the problem."
