id,user,timestamp,commentText
Ugyeyx0nEvAe-jugrBx4AaABAg,King Khan,1534561291668,I drop psilocybin and listen to this man talk all night.... Peterson for President!!!!!
Ugytm_aSWtz_Doz3K4t4AaABAg,davi player,1534302091677,o mai god
UgxHGkgQhd3cLfXvStd4AaABAg,Dustin Neathery,1534215691684,"How to change your life


Eat a piece of cheese"
UgzzO3kvZAVoj0vJGIt4AaABAg,TheJay 101,1534215691691,"What if the 'apple' is symbolic for the 'Agriculture Revolution', like in Mesopotamia? This resulted in population growth which brought with it all of the challenges we're experiencing with land today?"
UgzCQqK54JIx1kF92Qt4AaABAg,Handsome Department,1534215691700,Just read the Bible..
Ugz6SGMnCBE1FxjtX3x4AaABAg,MrTotalRandomnesss,1534215691707,33:25
UgxGIveKIf3WXFwe7gh4AaABAg,stoikr,1534215691714,"See color, define fruit (and other things), eat fruit, grow bigger brain, leave the trees, loose hair (become naked), work to maintain new body
See the world, name fruit, defy (overcome) what stops you from eating fruit, eat fruit, gain knowledge, get kicked out of garden of eden, realize you're naked, work to maintain new life"
UgwzxhwsEyvPXzh2mGx4AaABAg,James Richard Wiley,1533610891723,"Jordan does what he does best - puts an allegorical meaning to a children's fairy tale that is filled with inconsistencies.
A Hebrew god named Yahweh is invented by a tribe of Hebrews who record their beliefs on animal skins.
Yahweh is lonely.
Yahweh creates a perfect world.
Yahweh becomes bored with his perfect world.
Yahweh creates evil.
Evil takes over Yahweh's perfect world.
Yahweh destroys his imperfect world with a flood and starts over.
Evil creeps back into his second creation.
Yahweh decides to becomes a human sacrifice to forgive himself for his own actions.
After his sacrifice Yahweh becomes 3 separate but equal personalities (The Holy Trinity).
Evil continues to infect his imperfect rebooted creation.
Yahweh decides to return in the form of Jesus to gather up the believers and transport them to his eternal kingdom in the sky.
The unbelievers are left behind to suffer in eternal hellfire.
All of it is exactly in accord with Yahweh's Perfect Plan.
Yahweh CANNOT make a mistake."
UgwnQq0D1lRXmMROyhd4AaABAg,Wilson Ferreira,1533610891728,"The Fall was simpler than you think, Mr. Peterson. Eve had an unprincipled SEXUAL relation with the Archangel Lucifer (Satan). How do I know? Check it out:
https://youtu.be/E-8jAikbCsc"
UgxuvX-wCjGv_mmsogx4AaABAg,Elinore Koenigsfeld,1533610891736,"Note that in the Bosh painting (triptych)--even in paradise, the cat (lower let) has caught a mouse, which he's carrying in his mouth. It's really amazing. I knew it well from books and slides, but when I saw the original!--was glued to it for over 2 hours until I could tear myself away. (Original in the Prado, in Madrid, Spain)"
UgytXjl75Um31zzTDdx4AaABAg,Charles Rump,1533610891746,"""Your a good friend but there's no reason your genetic material should propogate into the future""."
UgyWW3MSdwy5BRgXJ3N4AaABAg,manguy2000,1533610891750,Is the audience a bunch of teenagers?  The constant laughing at everything he said is super annoying
UgybOEVg-8jCDCHlJah4AaABAg,manguy2000,1533610891760,Folks need to stop laughing at everything and listen
Ugyrq8eBpvvbh0LolxR4AaABAg,Bookwyrm,1533610891766,"There's a catch here.

Wolves may not store food for the future but lions, crocodiles, and squirrels all do.

We are not the only species to have discovered the future...we've just discovered more of it than have others."
UgyypAZAKXMwzoEYbg54AaABAg,SeouL,1533006091773,"What is this ""Round Chaos"" that Jordan Peterson talks about for a brief moment? He references Harry Potter for a second too. He also says that there is a meta game above all others that if you master it, you master everything else. Does anybody else know?"
UgxJxhHW_-ya3cmGiYV4AaABAg,Oscar Geronimo,1533006091782,"1:28:29 Marriage
1:35:05 The compactness of meaning in the Round Chaos image (Alchemical egg): conclusion.
1:54:25 Women share food: women offer their mate a deal for a relationship.
2:00:02 Why you hide from walking the righteous path.
Just marking it for future reference for myself (hopefully useful for others as well)."
