id,user,timestamp,commentText
UgwhoSSiizB8aCxo1Sd4AaABAg,J William Pope,1534734229760,Mozart Jupiter III
Ugzo241Fez5hagMEg-p4AaABAg,SeouL,1534734229766,28:20
UgyBWenkmTZUE06cY6B4AaABAg,Spencer Sperle,1534647829775,what is the eedapo fundamental my story he talks about at 1:23:20
UgxZ5yfRGqkYHhimSul4AaABAg,Jeremy Mossi,1534561429783,"God scattered the people of Babble because he had commanded them to scatter across the whole world at the end of Noah's story, then at the start of the story they want to make a city and name for themselves, so that they will not be scattered. There isn't much of God's morality to grapple with in this story as people think. God smashes a 40 on the ground, shouts ""Scatter!"" These people don't scatter. The cops get them."
UgyJo9ooNQihwsS-ZLx4AaABAg,Joe Nava,1534561429792,"Not sure if Doctor Peterson intentionally skipped the fact that the ""nakedness of the man"" is the wife based on Leviticus 18:8, so text can also suggest incest. It would be great what Dr would think about it"
UgxoLf3wpDDc1bBhXVF4AaABAg,worldclassopal,1534561429802,the  Nihilist Australian Philosopher sounds like Peter Singer...
Ugy0e2M7T85435RhJgR4AaABAg,cristian david,1534561429808,"Here is the Jill Bolte Taylor's TED talk titled ""My stroke of insight"" referenced by Dr. Peterson @ 47:00-ish: https://www.ted.com/talks/jill_bolte_taylor_s_powerful_stroke_of_insight"
UgyQXiqxmR1cPGV7BvB4AaABAg,Spencer Sperle,1534475029814,Jordan B Peterson is there a way we can buy or download a copy of this lecture series incase of them dissapearing ?
UgwDXRQQISe_OG-goCJ4AaABAg,Sanguis Bonum,1534475029823,take a look at the mouse utopia video
UgyyADa7bsta2CopYzd4AaABAg,Mark Anthony,1534388629825,anyone got a source on that neurologist and what she meant by ego dissoltion?
Ugx9Zca-ZUYA55F0Ojh4AaABAg,Johns 4Christ,1534215829833,I enjoyed this as I listened intently.
UgysGspGvjKjv1H1-Wt4AaABAg,Shift -Z,1534215829837,"Adam hiding in the shrub after he is made self aware, aware of his nakedness. Seeing Noah naked, seeing the naked face of god. Interesting to think about the connections and what nakedness means."
UgxXx3fcDHQeCW9kYVh4AaABAg,Rosseo B,1534215829841,"I need to listen to all this series before the fascists have it taken down -- Alex Jnes my be a nut, freak, whatever, but to scrub\purge everything -- whats next -- the constitution or magna carta?"
UgzCQPnDGTmArN5GfD54AaABAg,Rosseo B,1534215829847,around 35:00 -- 35:20  ---- jordan b. peterson needs to be appointed prime minister
UgziBuGJtA5F8roCN9t4AaABAg,KlaasJan Boskma,1534215829857,"""And thats how the story of noah ends."" Somehow this made me sad."
UgxsDr4A5t5HbqRGUJ14AaABAg,Stash 777,1534215829860,"OK, this is by far the best video from MR. Peterson, I can't get enough of it, can't wait to see the rest of his videos."
UgzxFn88C1PXjx0VppB4AaABAg,lightingman117,1533611029868,"5:00 - Noah
14:05 - Noah archetype of God
16:00 - Tower of Babel
17:40 - God isn't cast in a very good light
20:30 - Satan
21:28 - solzhenitsyn gulag archipelago
23:00 - Nietzsche
23:30 - Fyodor Dostoyevsky
24:30 - Too big to fail
31:35 - Warning against hubris
35:45 - Be very careful
40:40  - Proverbs 16:32
41:30 - Get your act together
45:43 - Experience of God
47:00 - Jill Bolte Taylor
54:55 - Huxley
59:25 - Jill Bolte Taylor
1:03:53 - Cancer & LSD & Depression
1:21:10 - Crumb - Documentary
1:23:00 - Serial Sexual Predator
1:29:50 - Carl Jung Aion book
1:31:10 - Pictures or Words?
1:33:20 - Interacting with your Lucid Dreams
1:43:55 - King Arthur
1:46:28 - Beware of wisdom you did not earn
1:48:48 - Jung's voyage into a different world
1:53:30 - Presence and Disappearance of God
2:01:25 - Potential models of proper being
2:03:40 - Questions"
