id,user,timestamp,commentText
UgxZswzTRK1CVQzVAfd4AaABAg,Andy Scott,1535761705810,Game instructions.
UgzqZVEEgCjtc8_ZQGJ4AaABAg,CivilWarz,1535588905820,"If I watch ALL of Peterson's videos, can I atleast get a bachelor's for googling every big ass word he spews?"
Ugy_ACUrTojXNYAvXtd4AaABAg,Integral Stanley,1535416105830,Jordan confirms Abraham Maslow's findings that our most basic motivations are our most powerful ones. It is best to understand how we are designed.
UgxDmPOkJbGT7oPRr7J4AaABAg,The Poet Boxer,1535416105834,counted 15 passes and felt half proud that I only missed one...didn't notice anything else...wasn't looking for it...hahaha thanks for the prank pettto
Ugw-_pqLlRJQLYsZrdt4AaABAg,Timo Vandrey,1534811305846,"16:26 I'm sorry to say that to Dr. Peterson, but the brain is made out of subatomic particles. How can there be more connections in the brain than that?"
Ugz6PHFA1pppq2ZcQwN4AaABAg,Andrew Balderree,1533342505858,It warms my heart that this has 200k views
Ugzur1ZMREkMUWmtZ154AaABAg,Fadi A,1533342505863,i actually caught everything in the video. so whats that mean?
Ugy3qkcQuabkWZ1wXEx4AaABAg,yabon banania,1533342505874,"The monkey business experiment: like Leftists coming to power. First enters the gorilla, then someone disappears, and the whole background of your life changes colour."
UgzyDreMdQ2zfYJv7054AaABAg,RBelschner,1530664105885,49:00 one big problem
UgyNenT77HqYh7Gxn4R4AaABAg,Χριστος Ασβεστης,1530664105897,wow... i experiment with psychedelics and zen buddhism and this info is very enlightening and also close to what i was suspecting but couldnt describe in neurobiology language..
UgyMPJ9C_o967CYIPRB4AaABAg,paulchri69,1530664105910,I think that I am foviaphobic.
UgwiK1D-BhqoOLHZkut4AaABAg,jhssuthrnmama,1528072105923,"Does anyone actually feel like their ""center of being"" is in their chest?  Like, they actually feel that their head is above where they are?  Or do those who think they're in their heart actually not understanding what's being asked?"
Ugya6rF98TZsvbzFWP94AaABAg,hank hill,1528072105936,Hmmm i wonder if anger is just a side effect of the brain over energizing itself in response to a possible fight or challenge. I mean anger in itself feels like it gives you energy right? It basically wakes you up
Ugw5-6KoFMK1nzZHuPx4AaABAg,Goldie Tamamo,1528072105946,The Koreans apparently think the seat of the soul is in the liver.
Ugz1NiD5aWSshtFpT894AaABAg,Goldie Tamamo,1528072105957,"Half counted the ball passes while focusing on a game I was playing in a separate window, said ""I really don't give a fuck about this ball-counting nonsense, don't tell me what to do"" and promptly spotted the gorilla. Brain didn't seem to give much of a care about the curtain or the player leaving."
UgxTLX80FKqfF5TYkkB4AaABAg,Terry Dillon,1528072105968,How the non-compliant (psychopaths and children) win in The Monkey Business
UgwWbtBYxcnuOtzpqwR4AaABAg,The Lens Blog,1528072105973,If only everyone had the open and willingness to learn more about them selves ...
UgyLErnwgzqxL6oOild4AaABAg,qwertyuiop,1528072105988,when a professor get applause at the end of a lecture you know its a good lecture.
UgxW5-mz4AAvwB_rymZ4AaABAg,puru,1528072105996,"16:24
Can someone explain how that makes any sense at all?  Is the number of neural connections in the brain really that large?"
Ugw2rZmMjZF0Foc8Q0V4AaABAg,Michael Ockerby,1525393706017,"35:00 onwards is absolutely fantastic! The value in understanding this is immeasurable, especially if your primary goal is psychotherapy, or other such helping professions; even diplomacy and other such important political and military affairs! There are multiple ways of looking at the world! Literally, different ways of looking at the information; even to the idea of what information actually is, what is defined as worth being known. What you see, is determined by your fundamental values - and these values are not even close the capacity of the individual to consciously choosing their own values - it is much deeper than that; fundamental values determine perception; perception determines what you see, and values determine how you will see it. It is much deeper than this, and I can't even scratch the surface yet, but to understand this is so very helpful. Then it is a matter of learning the skills through committed discipline of more accurate communication abilities, and the ability to control ones emotional reactions in conversations that you find repugnant; because for the aforementioned reasons - because the way that you look at the world is different and how you look at the world is different; perhaps even more strange, that they way you do this, in relevance to the set of topics at hand, may be inaccurate."
UgxQtVg7VxPt0lTo34R4AaABAg,Jason Donhardt,1525393722040,I wonder what this guys exams are like.
UgxMjNhJlHOHYRo1HVh4AaABAg,Rusty Shackleford,1525393722047,I enjoy listening to JP's college courses running in the background while I play simulation video games. I never finished high school and work in the trades so it's nice to be mentally/abstractedly stimulated in my down time.
UgztMsSPdoHzEf3zXNl4AaABAg,Fred Fredison,1525393722065,"i would have located myself at my sternum or where my eyes meet my skull, huh. kinda both haha"
Ugx-SvvYTt4X_lgoTqd4AaABAg,Peter Garcia,1525393722077,analyze this...
UgxDWkomjEfnyNCcYgB4AaABAg,Jonathan M,1525393722088,"Discussion of ""frame"" begins roughly 40 minutes in.  Simplifying the world."
UgwSiEuxvtfljDHzB9F4AaABAg,Sweetie Turner,1525393722100,I like the Lymbic System. Its really agreeable....helps us sleep. feed & breed. :-)
Ugxy2LRQVagVgWdOPcp4AaABAg,Buysome Bitcoin,1525393722113,"The acronym is OCEAN Openness, Conscientiousness, Extraversion, Agreeableness, and Extraversion. Check out the Ennneagram, and well, the Zodiac and Chinese Zodiac. We have been classifying personality types for thousands of years."
UgwFHY7tviG8yOqZp_R4AaABAg,MyLo,1522801722124,"cannot find any reading associated with this course is it normal ?

The gray paper seems to be talking about stuff we did not review in other readings / courses (a lot of biological systems are used with no explanation about them). This might be because the readings of this lectures have been forgotten."
UgxWmJJTsDYqfnSCcVZ4AaABAg,Shiroyasha98,1522801722137,"Has anyone found Gray's paper: ""A Model of the Limbic System and Basal Ganglia: Application to anxiety and schizophrenia""? If so, could you please post a link to it?"
UgxCdTZPjFOLvqtyqax4AaABAg,Bar Bear 🐻,1522801722147,"Since apparently this was 2014, it's amazing how much better Jordan looks now in 2018(beard and all) compared to how he did in these days from this lecture. I mean he doesn't look bad, and I'm no gay man, but recently he's been making me question my sexuality... 😂"
UgwhhjteCVabGgKG3154AaABAg,Biopsychosocial,1522801722159,I wonder if insurance investigators could use the snake theory to test if someone is really paralyzed?
