id,user,timestamp,commentText
UgzebbiBXcsGoGRHoXR4AaABAg,Mike122344,1533342108306,What is the reading material for this course?
UgxZhPuJcH9MVn7Jakl4AaABAg,Calculus Metal,1530663708320,Thank you for sharing such great knowledge
UgzN1ioeg6oEUZmtX-l4AaABAg,inert life,1530663708332,Freud's theory is based on unverifiable and imaginary facts.His theory is in no way empirically substantiated
Ugy8VQbefGJqrAhGSeN4AaABAg,Twin Destiny,1528071708344,"Incredible, 25:55 actually happened to me exactly now I finnaly understand the switch."
UgyeTLQrXCl1fzOY2qN4AaABAg,Intraterrestrial,1528071708356,"I love these lectures... the difference here compared to when I went to my university, is that when money was involved and I was being graded, I went because I had to, not because I wanted to learn. When it's here on YT, I attend because I want to learn. It's a drastically different mindset, and I'm taking away so much more here than when I did when I went to university (not to discredit my professors, they were very good in their own right). Thanks Dr JP for posting these, you're on the front end of the next paradigm of education."
UgzT95i90qoDf-4y2Q14AaABAg,JD Norman,1525393308365,LED’s rippling an unfathomably complex and ancestral field of imitation. Very cool metaphor !
UgxcXrKCOhg7D6w-1tB4AaABAg,manguy2000,1525393308369,We are now going to watch the evolution of the JBP goatee (technically its called a VanDyke) over the course of next few lectures.  Already a fair bit of scruff since the previous class.
Ugz4vxtcAgqThPtr5UJ4AaABAg,902d,1522801308381,I’m procrastinating statistics watching this.
UgznIHRoJhTxvjPu0214AaABAg,CardboardWallet,1512346908392,"flawless lectures! I can't stop watching these, Ill probably end up watching every single lecture on your channel. No lecture Ive attended to in my life has been this immersive"
Ugwk-9pkM9-vjkzvUyB4AaABAg,Cezar,1512346908403,Watched this and previous lectures becouse of procrastination.
UgzwJT6wNKJ7yDrzEIl4AaABAg,baijhmael,1507076508416,I'm watching this playlist as displacement. Ouch.
UgyQUmI0aMMUd1QkJdV4AaABAg,gerard78910,1504484508421,Which movie is he talking about? Around 25:00?
Ugib0wKLCuakKngCoAEC,DimensionZombie,1504484508431,"ALL I GOTTA SAY IS....


IT IS HARD FINDING A WOMAN WHO LOVES EATING ASS AS MUCH AS I DO"
UggO19qlGjb6JngCoAEC,Axle,1504484508441,"Oh great now I'm going to have nightmares that I'm in the exam for this subject with no pants or pen. But seriously, terrific lecture series, very illuminating."
