id,user,timestamp,commentText
Ugy1Yjvu3vkoRtxbhlF4AaABAg,Alfredo,1535761251627,23:10 Thanks for this meme.
UgzEhpNLk880FOcsxxp4AaABAg,greyztone,1533342051649,"58:44 Crafty little switch there from the question of life having objective meaning (assuming that's what he means from ""meaning in a cosmic sense"") to subjective meaning. It's not a dopey question to ask if science can find an objective meaning for life. Science could have literally found evidence for a god, or an afterlife, or whatever. Indeed, it still might! As for subjective meaning, well by definition that's down to the individual and doesn't have to have any basis in anything at all beyond that.

It's all well and good to say that nihilism has no utility to daily life but to call it stupid and primitive because of that just betrays an agenda. Looking for the facts of existence and looking for the most effective ways to live your life are two different things. One might just as well say that the latter is stupid and primitive because it is based on biological impulse over reason."
Ugy6TULl6qgzHgxvrPV4AaABAg,Frodo Bilbo,1533342051657,"Damn, I find your lectures very interesting. But I do as a nonmaternal english speaker have to listen to your lectures 2 to three times to have the feeling of having understood them."
Ugwv6pSswHypEiicK354AaABAg,Go W,1530663651668,Is there any audio version of this course? Thank anybody who has it:)
UgzSNArsYAA9HQaEkKl4AaABAg,Frosticles the Benificent,1530663651701,Turns out Wombats can make the distinction with the mirror test. Might just be I gots me a world first with that one...
UgzXl9tjQv7h5VfmyDh4AaABAg,S73PJY1971,1530663651712,ive come from 2018. dont worry jordan things are going to turn out great! oh and you will loose plenty of weight by then too! chunky monkey!!
Ugwx8w-YQfEMDvyTUOV4AaABAg,Christopher Rippel,1530663651723,"Sorry I couldn't find the right lecture where Dr. Peterson was talking about Price's Law but I'll ask here: For anyone who believes in Price's Law, I for one haven't picked a side just yet, can you please tell me how it compares to the Principle of Cumulative advantage?"
Ugyj0VuHO8_9ZU6JPdp4AaABAg,Paul Dalessandro,1528071651726,"At 51:09 I'm having a difficult time following his logic.  If I go out on a limb, I'm concluding that the blind person(s) are using other non-visual cues to determine left from right (air flow, vibrations, sound, etc), but that doesn't seem to be well implied by what he actually says in this clip.

If I had to take what he says at face value, I'd have to assume he's implying some type of innate ""knowing"", which I don't think he's implying, and hope very much that he's not implying.

I'd rather just assume he didn't complete his train of thought, and he meant to say that senses like touch and hearing are so adapted to your nervous system that they provide enough data to make an accurate instinctual determination.

If anyone has further insight on this, I'd be interested."
UgzCQMIe9MUi-CdA6jd4AaABAg,Logan Erickson,1528071651737,I love these lectures
Ugw3e16f-BSkox2e-1Z4AaABAg,Julien Campisi,1528071651762,Thank you!
Ugx5z2t46uRJXu0icjt4AaABAg,Eyal Bor,1528071651773,This thingy is full of wisdom
UgwP0EI7jFWckaWs1zd4AaABAg,Jessica Hall,1525393251786,"Thank you so much, for putting this gold mine of information out for free, I plan on reading much on the reading list in an effort to learn more about myself, and the world around me. Your insights are phenomenal! Thank you Dr Peterson!!"
UgzoZ9vR40-TnLBEbAV4AaABAg,Jeson Derik,1525393251797,Thank you for the video
UgzhPmOGmJYHQhOEl-Z4AaABAg,MonsterMailInc,1522801251819,Free U of T Psych Class!
UgxiCzfe0dQ5pEMGUXt4AaABAg,Potater Tots,1522801251831,i have a psych test next week on personality wish me luck!
UgxIIAzSrMuzg21nsPF4AaABAg,Sarah,1522801251846,Who else is here ignoring their actual schoolwork and studying this instead?
UgznZh5ZTgyHPdUqy3V4AaABAg,Gabriel Faucher,1522801251865,Gold.
Ugwz-W2mvpQoioNlb794AaABAg,Martin Carion,1522801251875,I wish i could see him on thursday :(
UgzFa6uTuEDZRC7aPJh4AaABAg,Amaar Marco,1520122851899,what is he drinking ?
UgweIZoz-20Qyzrs8yZ4AaABAg,lobsterpatriot,1520122851911,"""Lobsters, for example....."" HERE WE GO"
Ugxam-fDdrnz4p_F_dd4AaABAg,The Whining,1520122853493,"I'm a 56 yr old man and every time I here Mr Peterson speak it fills me with a sense of pride and honor, I get that feeling when your country wins a gold medal at the Olympics and they play the Canadian national anthem."
UgwwHDVeQrJYYOn3OdV4AaABAg,Jay Jay Smith,1520122853504,"I have a new series to watch. <3

Anyone else got nervous when he mentioned exams and essay? Lol"
UgyfdW9dRHcETAD4wyp4AaABAg,Angela Dennis,1520122853510,Course reading list here:https://jordanbpeterson.com/classes/personality-and-its-transformations/
UgyR4rOB0O-PAXkkhMF4AaABAg,Jason Thomson,1520122853520,This is fantastic
UgzOn3B8WPkecCA9oY54AaABAg,penname 1,1520122853541,"7:30-8:30 Here's the red pill, but there's the blue one"
Ugyw4ssYlImA6Aja6md4AaABAg,Number Eight,1517703653552,"Way he's talking makes it sound like a self help course.... waste of money, just buy a book"
Ugz6lyRYkJvHZWn6Hcp4AaABAg,Gino Corbrietti,1517703653565,Youtube used for Liberty.
UgxR0u8aJyeB7lb1NM54AaABAg,Caucasian African,1517703653577,I'd NEVER miss his class.
UgxByK4EM9sZUjQqeVJ4AaABAg,Tydus James,1517703653602,"I've binged his lectures, and then I'm gonna read his book list."
Ugw52JUs8niD6Ejqjl14AaABAg,TommyTom,1517703653613,How many lecturers get an applause?
Ugy_J7b_NFzY1Z-s3kl4AaABAg,Java Monkey,1517703653624,38:27 I really want to clip this sentence out and use it to describe politicians and postmodernist academics.
UgyQzFqiZLFbi5mfKgt4AaABAg,Jan Smith,1515025253635,"Did anyone else find the statement that ""nihilism is pointless"" as funny as I did?"
Ugw13qj7c7SxTXK55Hl4AaABAg,JustPast12,1515025253646,Whats with the chatter in the back round. Are those his students talking during the lecture?
Ugz6SLNM57YWoabCGgN4AaABAg,CardboardWallet,1512346853669,"I never had the grades enough to be able to apply for Psychology, so these videos make me very happy! They are incredibly useful for anyone I think. Because learning about how you work/humans work and why is something everyone should be interested in, in order to make the world a better place by bettering yourself and understanding others"
UgwaKi90tQphBkgm6Ap4AaABAg,abram galler,1509754853681,A lot of of animals can recognize their own scents including invertebrates .
UgzrIVCpgsmekNuOZT94AaABAg,Brian Thom,1507076453693,"Is it a Canadian thing to clap at the end of the class period, or is JP just that awesome?"
