id,user,timestamp,commentText
UgxFC7vBE4uTMAEv8FN4AaABAg,SixSixSix,1530663725747,"I think I understand most of what he says with reference to dominance hierarchies (so much interesting stuff) -- and I guess he allows room for the many actual exceptions to such beliefs as ""people at the top of the hierarchy being more likely to breed"" ---  

I think due to the way things are structured this is clearly no longer the case for humans -- with reference to such things as the movie ""idiocracy"" : Every unfortunate unfit ""dumbass"" (just as a loose description, for lack of me bothering to think of a better word) who feels like it can breed, and breed a LOT, and they DO (probably a lot more than people who may be far more ""fit"" to breed, say, from a deep, un-opinionated biological standpoint).... although maybe such dumbasses are at the top of a subset-hierarchy of dumbasses, and do not pass reference to larger structures, and the larger structures do not refer downwards : 
So : the way many things in society are currently structured is a bit of an upside-down pyramid, and will remain such, until the job-lot comes tumbling down. 

It's easy to see a lot of upside-down pyramids developing in society. For example, the cancer of management. There are many organisations with many more management and administration staff than the skilled people who actually do the work the organisation is purportedly supposed to do -- and I note that many times in such organisations, competence is actually not the selector for climbing upward into such managerial and executive structures (see ""Dilbert"", and everything in reality which that cartoon reflects).
Competence is a selector to a distinct point .... and then no longer."
UgyHKovEtgTRrWtoLH14AaABAg,SixSixSix,1530663725758,26:54 this lecture brought to you by Coke Zero. The aspartame packed migraine-maker .
UgzgsJOtqXOa8Tis7-l4AaABAg,Rahul Deshpande,1530663725764,I am in love with this guy
UgwQXlHq5B6oQVUYXUd4AaABAg,Intraterrestrial,1528071725773,1:07:40 the biological urge to crack the knuckles overrides the logical urge to resist
UgzIIz8wwVcpR6z35XV4AaABAg,Moe Dean,1525393325779,Dr Peterson can you talk more about Zoroastrianism an indo European religion vrs Aberhamic religions.  I like this guy and thought you may like his work as well. https://www.youtube.com/watch?v=RTZ0FGcKPuE
UgyYYK5fiO9ytYupOHp4AaABAg,DeanRendar84,1525393325797,"responsible, modest, merciful, forgiving, powerless consciousnesses fascinate bratty royals who no longer get to be exposed to real good people due to their corrupt palace opulence."
Ugw7yuH76b2Bsv7alwx4AaABAg,Amal Amy,1525393325810,Thank you😮
Ugwb4rtCzyIwGSzhWMJ4AaABAg,MonsterSisters,1522801325820,"Geez, he lost a lot of weight."
Ugx82CIaG_Go1KdVLIh4AaABAg,MiMi Chu:一起给头脑化妆,1517703725823,"Wow, lecture like this makes me proud of being human. Knowledge like this gives me hope. Thank you!"
UgyCccwBVNfts6SkMxR4AaABAg,Sophia M.,1517703725833,"A whose perspective? Piége?
At around two minutes... I keep hearing this name but I have no clue, how it's spelled, so I cannot ask our god Google for more information and I haven't yet heard Dr. Peterson name a book of this man the title of which could lead me to the man's name...
Anyone?"
UgxryLbUeXJndUFVZqJ4AaABAg,Wils kr8,1512346925843,38:21 kitkat!
UgzuCdVpbySbnoR_Ehx4AaABAg,Count Rufus,1509754925850,"Both Dostoevsky and Nitzsche wrote about it.And both predicated what will happen.Well Hitler and Stalin happened.Thats when certain belives stop.
Most people in europe are not religious. But they act as if God exists.They go to Church out of certain traditions."
UgyO2cW0BNTnN86v9tt4AaABAg,Dhrumil Barot,1509754925858,"you are incredibly inspiring and inspired me to look into psychology despite me being a computer engineering student ,from other part of world and exorbitantly motivated .."
Ugy9pnNrWDcxNoG-g2Z4AaABAg,Tricorn Tom,1509754925868,The camera angle is Alfred Hitchcock. Kind of matches the content.
UgwEgEjwY8VGSuTF7ot4AaABAg,lunadog71,1504484525875,I'd like to have references to the excerpts Dr. Peterson read.
UgwYkyla9oFgGwacLDl4AaABAg,dustinjef,1504484525880,I'm working though seeing all your videos and just want you to know the absolute love i have for you.
UgwHmbSXzZm_PXn5_rZ4AaABAg,Vedran Ivankovic,1504484525890,like the rapist beard
Ugiy7xUPIsplwngCoAEC,Seth T,1504484525895,"twilight of the idols is nietszche's most accessible work, I would say. Beyond Good and Evil is the next most accessible"
Ugj4q7mA7nzy03gCoAEC,CA L,1504484525905,1:00:18 for coke zero
UgjckdEhqZXWJHgCoAEC,John Robb,1504484525961,Game of games.  Lobster dominance hierarchies...
UghCIryMVm-AIngCoAEC,TheNinjaFuckr,1504484528957,"You uploaded this just before my finals for Philosophy started last year, and Nietzsche was one of the main authors. My teacher pretty much left all the work up to me, with the exception of the names of his major works. If only I'd found you sooner, Dr. Peterson."
Ugg1yvdnSAcqOXgCoAEC,AFINEDEADSOUND,1504484528970,"“Reasoning led [Levin] into doubt and kept him from seeing what he should and should not do.  Yet when he did not think, but lived, he constantly felt in his soul the presence of an infallible judge who decided which of two possible actions was better and which was worse; and whenever he did not act as he should, he felt it at once. (791)” Tolstoy, Anna K."
Ugg16yAwyQZFhHgCoAEC,the guy,1504484528981,i wonder if Jordan gives the students some of these statements of the philosophers to go think about BEFORE these lectures?
UgjgXRYZ0LtLqXgCoAEC,MrBlue,1504484528986,"The internet is strange place i make full circle, Some time ago I start know Your persona from identity politics videos/stance, and last week i play game NieR: Automata what make me to look after some philosophy. The game was about ""human condition"" end ""existentialism"" in me opinion one of best game of the year [2017] and make me cry in scenes looking like asteroids. and after round of some wikipedia links.. some youtube videos I get to some of Your lectures on this topic.its nice for me how game spark interest to search for philosophy and i end leasing this in background at work."
UgwGtjyYfZ8kSUot-gt4AaABAg,Tobey Baronski,1504484528996,TIL when you die a virgin you literally lose The Game
UgjdC5WNBT5N8XgCoAEC,Jeanne Neumann,1504484529017,I love his righteous heart
Ugg6tt51ID1Rf3gCoAEC,Inappropriate Username,1504484529032,what maniac actually took the time to subtitle an hour and 10 minute long lecture.
UgjdoNs_ff89lHgCoAEC,Tyler Stephenson,1504484529043,"Seriously incredible stuff, Mr. Peterson. You speak so genuinely, and so truthfully that it FORCES me to see my pathological problems. Thank you so much."
UgiAyaOXkb_42ngCoAEC,strangersound,1504484529063,The cup of coffee biological subsystem is extremely powerful in it's ability to distract. ;)
Uggk2kdjjOlgJHgCoAEC,feelinglucky duck,1504484529077,"Did you grow up going to church? Your mannerisms remind me of a preacher big time, or is it in your biology. I wonder?"
Ugj_hgr6P70yAngCoAEC,feelinglucky duck,1504484529087,If you haven't seen persistence hunting you should check it out. It expanded my understanding of the biological human as far as uprightness and the absence of fur for energy conservation and modulation. I used to think it was a funny thing that we had so much less fur than other apes.
Ugj4QGWZIHAj2XgCoAEC,Dustin Behnka,1504484529099,"With over 30,000 hits, he better be getting money from Coca Cola to drink that Coke 0 with the label facing the camera at 26:58."
Uggo9dcFAJt3CHgCoAEC,jonathon silver,1504484529110,"Christ was not the perfect Western man - more like Nietzsche's perfect enemy. ""God is dead"", yes, but what killed him? Humans. How? Via Christianity: they sacrificed him (God on the cross) - in their quest for comfort. That is nihilism! Christianity was a nihlistic religion. It is directly responsible for the modern state of affairs as it empowered slave morality. Towards the end, the religious shell was cast off when no longer useful, and we are left with democracy, ""equality"", pettiness - the perpetuation of the nihilistic core."
Ugh1AgZgZ7ZMtngCoAEC,Unlucky Fat Guy,1504484529122,Few people know that Nietzsche is the glorious mustache not the man.  Most of the works Dr. Peterson alludes to here can be attributed to it.
