id,user,timestamp,commentText
Ugw_KvT2t7UZqIeLSuF4AaABAg,Brian Baran,1533342071167,"I suspect that before an idea has anyone, they choose to surrender to that idea."
UgzdXy3kXTIDTXAcLAV4AaABAg,Vertutame,1533342071189,"yeah,life is nothing,that's true....unless you make something out of it so I would tell people that keep saying this ""go do something useful"""
UgyjMSVpMPoIRJq0mYd4AaABAg,Edgaras Narmontas,1528071671205,Those ideas that have us remind me of pendulums from books of V. Zeland '' Reality transurfing''.
UgzkhJEVAq-CXTBWgnZ4AaABAg,Avalon Justin,1528071671217,"The more I listen to Dr. Peterson, the more brilliant he seems. He truly stands on the back of giants."
Ugz93GhrTwePtjoJokB4AaABAg,martha wright,1528071671233,"Thanks  for bringing us the message  Jonah, I mean Jordon, I mean with respect and gratitude  Professor J Peterson"
Ugx2NHv95uNPj-G8u6t4AaABAg,Ross Whitlock,1525393271248,Keep posting! 👌👍👂
Ugxm5FdWocOC5oSZ6hJ4AaABAg,Gabe Bautista,1522801271258,Started watching all the videos of Dr. Peterson since December. I have limited my reading time so I can  watch every single  video to see what I can learn and I have watched every single one up to here and so I decided I was going to write a comment so I could keep record. Hi everyone 😊
UgzleA1mJtfOVQLCkBx4AaABAg,lovethechop,1522801271273,Am i the only one who is not learning here?
Ugy-eygJLAujJEAUwgZ4AaABAg,Mo,1522801271287,"46:10
Yes, professor. We do have the a version of the story of Jonah in the Quran, but in arabic his name is Yunus :)"
UgzbeNG32SeJH6elbIV4AaABAg,Comfy TV,1522801271298,37:42  Bro.  I wonder what race the 10% of Americans with sub-82 IQ's are.
UgyrrtZy7b0zmX-RQKt4AaABAg,mjcard,1522801271321,The recitation of the Book of Jonah in this video is not accurate. Read it for yourself.
UgzsJvqqdSACfqyeyrd4AaABAg,Curious Monkey,1520122871329,Thank you very much for sharing your lectures Mr. Peterson! It's very very enlightening! I'm following your channel now since a few months and I can't get enough from your insights! I hope these students know how blessed they are being taught meaningful things by a real genious of our time. Continue bringing such a great value to this world.
UgwuETucx_Au-NxzOfR4AaABAg,yusupovm,1520122871342,Can any body clarify what is he talking about at 28:43 - it sounds like “edd”like structures of the brain... What “edd” is he talking about?
UgzkCGqi7T4dP-dhuOR4AaABAg,GovernmentCritic,1520122871364,That coke zero ad
UgwkMVdiS82lVNgJ48N4AaABAg,manfredpseudowengorz,1520122871367,30:13 - 30:41 ba dum tsss
Ugx5LkD0n8W6qf5Pjgd4AaABAg,refractedphoton,1517703671381,From what I understand re. the brain and conciousness is that the man with cerebral fluid in his skull still had the same brain mass it was just compressed and also birds have denser brains too so this answers this particular point.
Ugy6Dtt8kNn_O6_mF3R4AaABAg,pdxeddie1111,1517703671392,not to mention Jews hated the Ninevites because the ninevites were pretty nasty to the Israelites so Jonah hated the idea of even trying to mention to them that they could be doomed he just wanted god to smote them and smile about it
UgyEyx6Tj8kbNWtMv8B4AaABAg,pdxeddie1111,1517703671407,"old enough to be written on sheep skin which is what Jewish torahs are traditionally written on and probably written on that before anyone invented forms of paper like papyrus. Can't imagine the discipline it takes to hand scribe that much wording on that kind of medium because if you make a mistake there's really no way to correct and skin is very expensive even more so three thousand years ago. I think they are still to this day hand copied on to sheep skin ""sacrificial element"" to it and most likely has to be done by kosher law with a rabbi overseeing and all the rest of the rules and regulations just to get the ""paper""."
UgxM6ItBZOGrpjOWZfh4AaABAg,TommyTom,1517703671425,"He's saying that IQ is the greatest predictor of success, but in his new series he says it is the second, and conscientiousness is the greatest"
UgyT8xOqKRISpMs5GOd4AaABAg,Sage Bias,1512346871439,The Quran has quite a different telling of the story. Look it up.
UgwW8CxlytT84zT1nK54AaABAg,abram galler,1509754872506,"The military in the  USA were never concerned about false positives in screening ,nobody is bothered by not being drafted and the ACLU would not  take the case of a rejected  volunteer."
UgwEib2I9cx_vWKyKQN4AaABAg,DeFCoN,1507076472521,"I love listening to your lectures, i only wish i could be in your class, thank you !"
Ugi8UFmFE9W4DngCoAEC,Regis Lafrance,1504484472527,"Nice little Coke zero plug, i love iiiiiiit."
UgilUBAxcCN_bXgCoAEC,Trenchcoat1Sword,1504484472537,"The man with 5% of his brain actually had much more than that, but it was compressed by fluid over time, taking up only about 10% of the space it normally would."
UggGqusffXXDRHgCoAEC,SunlightDivisor,1504484472554,"Dr. Peterson, I very much appreciate your lectures and public speaking. I only discovered your videos recently but they're already affecting my life in drastic ways, so thank you. There is so much that is taught in schools at all levels which is completely upside-down, and after years of being in the academy and seeing no hope in most 'educators,' I'm glad to see there are still honest people working to generate true understanding among students.

I have been thinking about the content of your videos a lot. I find Piaget's assertion that ""You do not have ideas, ideas have you"" very intriguing, and I find it goes counter to one of the fundamentals of our society, which is that every person is a distinct entity with free will. We do not choose what ideas possess us; it is up to fortune to determine whether or not we hold the correct views. It reminds me very much of Schopenhauer's correction and reversal of Descartes' and Spinoza's thinking: ""With those other thinkers, he wills what he knows; with me he knows what he wills"" (from vol. 1 of The World as Will and Representation). It is truly terrifying to creep up, through slow philosophical inquiry, to the notion that we are not free as individuals. I wanted to turn back from this quest many times because I saw that it threatened to destroy my life. As you've implied if not outright said in other videos, taking away responsibility is basically a death sentence for the individual as it gives way to nihilism.

Yet I do see it as a paradox to take responsibility given the apparent lack of free will. I understand that it is necessary to have, but given our growing understanding of the fact that 'ideas possess us' and the determinism of brain function, doesn't it make responsibility a necessary lie?"
UghPjyh8mokqVHgCoAEC,ninjaassassin27,1504484472562,"""You want to make them better, and better is not a scientific category.""
A stunningly clear allegory of 90% of human problems."
UgjzMP6XDDZjdXgCoAEC,Deity1,1504484472578,"If Star Wars and Harry Potter are popular because they're updated mythology and people get immersed in that, then how the hell did so many idjits swallow that Twilight vampire garbage? Where was the allure in that or was it something pathological?"
Ugi5avlE-Y1X0XgCoAEC,Danil Thorstensson,1504484472595,I disagree with you in that you can't force yourself to do things you don't want to. You absolutely can if you have the self-discipline and the intrinsic motivation.
UghoLYYb3gJOZHgCoAEC,Luna L,1504484472611,♥
UgjHgcbvFgVc8ngCoAEC,Unlucky Fat Guy,1504484472623,"Excellently presented!

Love that quote: ""You're brain doesn't let you do anything important"""
Ugg5Gk1Z925uXngCoAEC,NSF kaleidoscopelegs,1504484472723,Kettle of fish lol
Ugh2CGw1YqJyPHgCoAEC,Private Citizen,1504484472740,I wonder if professor has a sponsorship with coca cola.
UghGnBbMEmQPbXgCoAEC,EzraEB,1504484472753,At 46:00 anyone else though he was going to start advertising for Coke Zero lol
UgjiwDhmnrGSBXgCoAEC,William Koscielniak,1504484472770,3 ideologues don't like this video.
UgilI1Fix5ALjXgCoAEC,A P,1504484472783,what a man!.... god hes sexy
Ugjjc56mPdU7eHgCoAEC,DJ Helkaa,1504484472807,"now there is one thing about the jonah story that people never mention ninava was the capital city of syria there were some wars other countries got conquered now the capital is damascus but in jonah's time the would fillet people alive so it was more of "" yeah i don't want to go to the place where they torture people for fun """
